,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
778,1210.20.01,1210.20.01
779,1211.20.01,1211.20.01
780,1211.20.02,1211.20.02
781,1211.30.01,1211.30.01
782,1211.30.02,1211.30.02
783,1211.40.01,1211.40.01
784,1211.50.01,1211.50.01
785,1211.60.01,1211.90.99
786,1211.90.02,1211.90.02
787,1211.90.91,1211.90.91
788,1211.90.99,1211.90.99
789,1212.21.01,1212.21.01
790,1212.21.02,1212.21.02
791,1212.21.99,1212.21.99
792,1212.29.01,1212.29.01
793,1212.29.99,1212.29.99
794,1212.91.01,1212.91.01
795,1212.92.02,1212.92.02
796,1212.93.01,1212.93.01
797,1212.94.02,1212.94.02
798,1212.99.99,1212.99.99
799,1213.00.01,1213.00.01
800,1214.10.01,1214.10.01
801,1214.90.01,1214.90.01
802,1214.90.99,1214.90.99
803,1301.20.01,1301.20.01
804,1301.90.99,1301.90.99
805,1302.11.02,1302.11.02
806,1302.11.99,1302.11.99
807,1302.12.02,1302.12.02
808,1302.13.01,1302.13.01
809,1302.14.01,1302.14.01
810,1302.19.01,1302.19.01
811,1302.19.02,1302.19.02
812,1302.19.03,1302.19.03
813,1302.19.04,1302.19.04
814,1302.19.05,1302.19.05
815,1302.19.06,1302.19.06
816,1302.19.07,1302.19.07
817,1302.19.08,1302.19.08
818,1302.19.09,1302.19.09
819,1302.19.13,1302.19.13
820,1302.19.14,1302.19.14
821,1302.19.15,1302.19.15
822,1302.19.16,1302.19.16
823,1302.19.99,1302.19.99
824,1302.20.02,1302.20.02
825,1302.31.01,1302.31.01
826,1302.32.01,1302.32.01
827,1302.32.02,1302.32.02
828,1302.32.99,1302.32.99
829,1302.39.01,1302.39.01
830,1302.39.02,1302.39.02
831,1302.39.04,1302.39.04
832,1302.39.99,1302.39.99
833,1401.10.01,1401.10.01
834,1401.20.01,1401.20.01
835,1401.90.99,1401.90.99
836,1404.20.01,1404.20.01
837,1404.90.99,1404.90.99
838,1501.10.01,1501.10.01
839,1501.20.91,1501.20.01
840,1501.90.99,1501.90.99
841,1502.10.01,1502.10.01
842,1502.90.99,1502.90.99
843,1503.00.02,1503.00.02
